Segment,Billing_Class,Site_Billing_Status,Site_Status,Consumption,Value_Unbilled,Billing_Frequency,UnbilledDays,RootCause,Voice_Attempt,target
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,1285,134.7,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,1285,134.7,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,1348,154.07,Q,174,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,1285,134.7,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,96.83,Q,174,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,80.14,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,80.14,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,80.14,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,96.83,Q,174,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,5717,373.77,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4253,384.29,M,97,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4253,384.29,M,97,Impl Perm Est,,0
Others,Small and Medium Enterprises,Not assigned,Dirty,13763,865.73,M,97,Business Exception,,0
Others,Small and Medium Enterprises,Not assigned,Dirty,13763,865.73,M,97,Business Exception,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,4775,337.06,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,348.37,Q,1286,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,331.67,Q,1256,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,331.67,Q,1256,Impl Perm Est,,0
